candidate_id,rank,score,reasoning
CAND_0000031,1,0.518288,"Recommendation Systems Engineer with 6.0 years in Hyderabad, Telangana; top skills include Pinecone, Information Retrieval, Sentence Transformers. Fit driven by strong retrieval/ranking career evidence, ranking evaluation exposure; open to work, response rate 0.91, notice 60 days. Concern: JD trap p"
CAND_0000001,2,0.291778,"Backend Engineer with 6.9 years in Toronto; top skills include TTS, Image Classification, Fine-tuning LLMs. Fit driven by adjacent technical profile; open to work, response rate 0.34, notice 60 days."
CAND_0000014,3,0.252893,"Frontend Engineer with 8.4 years in Hyderabad, Telangana; top skills include OpenCV, OpenSearch, FAISS. Fit driven by adjacent technical profile; not marked open to work, response rate 0.80, notice 90 days. Concern: 90-day notice."
CAND_0000015,4,0.238228,"Software Engineer with 5.4 years in Trivandrum, Kerala; top skills include Next.js, Content Writing, Sales. Fit driven by some search/ML systems experience; open to work, response rate 0.32, notice 90 days. Concern: 90-day notice."
CAND_0000043,5,0.237695,"Cloud Engineer with 8.3 years in Chandigarh, Chandigarh; top skills include Kubeflow, Image Classification, Elasticsearch. Fit driven by some search/ML systems experience; not marked open to work, response rate 0.04, notice 120 days. Concern: 120-day notice, low response rate (0.04)."
CAND_0000025,6,0.237685,"Frontend Engineer with 7.3 years in Vizag, Andhra Pradesh; top skills include LangChain, Data Pipelines, JavaScript. Fit driven by adjacent technical profile; open to work, response rate 0.74, notice 120 days. Concern: 120-day notice."
CAND_0000023,7,0.232249,"Software Engineer with 3.7 years in New York; top skills include Node.js, Rust, Marketing. Fit driven by adjacent technical profile; not marked open to work, response rate 0.57, notice 30 days."
CAND_0000016,8,0.201600,"Accountant with 5.3 years in Gurgaon, Haryana; top skills include Kubeflow, Accounting, Photoshop. Fit driven by adjacent technical profile; open to work, response rate 0.64, notice 60 days."
CAND_0000032,9,0.197940,".NET Developer with 8.1 years in Gurgaon, Haryana; top skills include OpenCV, Embeddings, Speech Recognition. Fit driven by adjacent technical profile; not marked open to work, response rate 0.69, notice 150 days. Concern: 150-day notice."
CAND_0000038,10,0.197661,"Java Developer with 6.7 years in Coimbatore, Tamil Nadu; top skills include Weaviate, Azure, GraphQL. Fit driven by adjacent technical profile; open to work, response rate 0.20, notice 90 days. Concern: 90-day notice."
CAND_0000018,11,0.196288,"Frontend Engineer with 6.6 years in Bhubaneswar, Odisha; top skills include CNN, Accounting, Java. Fit driven by adjacent technical profile; not marked open to work, response rate 0.16, notice 120 days. Concern: 120-day notice, low response rate (0.16)."
CAND_0000007,12,0.181383,"Civil Engineer with 5.5 years in Gurgaon, Haryana; top skills include Sales, MongoDB, Scrum. Fit driven by adjacent technical profile; not marked open to work, response rate 0.62, notice 30 days."
CAND_0000026,13,0.167392,"Graphic Designer with 6.8 years in Kochi, Kerala; top skills include Kubeflow, Kubernetes, Airflow. Fit driven by adjacent technical profile; not marked open to work, response rate 0.59, notice 30 days."
CAND_0000002,14,0.167218,"Operations Manager with 12.5 years in Chennai, Tamil Nadu; top skills include Photoshop, React, GCP. Fit driven by some search/ML systems experience; open to work, response rate 0.29, notice 60 days."
CAND_0000048,15,0.165510,"Mobile Developer with 9.7 years in Hyderabad, Telangana; top skills include AWS, Terraform, Content Writing. Fit driven by adjacent technical profile; open to work, response rate 0.65, notice 120 days. Concern: 120-day notice."
CAND_0000044,16,0.163580,"Frontend Engineer with 5.7 years in Indore, Madhya Pradesh; top skills include Python, dbt, JavaScript. Fit driven by adjacent technical profile; not marked open to work, response rate 0.66, notice 90 days. Concern: 90-day notice."
CAND_0000010,17,0.149628,"Data Engineer with 4.6 years in London; top skills include Object Detection, GANs, BM25. Fit driven by ranking evaluation exposure; not marked open to work, response rate 0.40, notice 120 days. Concern: 120-day notice, JD trap penalties applied."
CAND_0000029,18,0.148518,"Business Analyst with 7.2 years in Noida, Uttar Pradesh; top skills include Tailwind, Spring Boot, Node.js. Fit driven by adjacent technical profile; not marked open to work, response rate 0.12, notice 60 days. Concern: low response rate (0.12)."
CAND_0000020,19,0.146743,"Mechanical Engineer with 6.3 years in Ahmedabad, Gujarat; top skills include Weights & Biases, HTML, GCP. Fit driven by adjacent technical profile; not marked open to work, response rate 0.55, notice 30 days."
CAND_0000041,20,0.144816,"Operations Manager with 13.7 years in Delhi, Delhi; top skills include Angular, React, Airflow. Fit driven by adjacent technical profile; open to work, response rate 0.07, notice 90 days. Concern: 90-day notice, low response rate (0.07)."
CAND_0000011,21,0.141229,"QA Engineer with 2.0 years in Hyderabad, Telangana; top skills include Kubeflow, Recommendation Systems, Spring Boot. Fit driven by adjacent technical profile; not marked open to work, response rate 0.56, notice 90 days. Concern: 90-day notice."
CAND_0000004,22,0.136287,"Marketing Manager with 3.8 years in Sydney; top skills include JavaScript, Airflow, Node.js. Fit driven by some search/ML systems experience; not marked open to work, response rate 0.26, notice 120 days. Concern: 120-day notice."
CAND_0000022,23,0.134179,"Mechanical Engineer with 1.1 years in Sydney; top skills include SQL, AWS, Django. Fit driven by adjacent technical profile; open to work, response rate 0.27, notice 150 days. Concern: 150-day notice."
CAND_0000035,24,0.132516,"Full Stack Developer with 4.3 years in Hyderabad, Telangana; top skills include BentoML, Recommendation Systems, Speech Recognition. Fit driven by adjacent technical profile; not marked open to work, response rate 0.34, notice 60 days."
CAND_0000045,25,0.125120,"Project Manager with 12.2 years in Indore, Madhya Pradesh; top skills include PostgreSQL, SAP, Redux. Fit driven by adjacent technical profile; open to work, response rate 0.62, notice 60 days."
CAND_0000033,26,0.112690,"Graphic Designer with 8.6 years in Pune, Maharashtra; top skills include SEO, CI/CD, Spring Boot. Fit driven by adjacent technical profile; open to work, response rate 0.08, notice 30 days. Concern: low response rate (0.08)."
CAND_0000046,27,0.109572,"Mechanical Engineer with 7.8 years in London; top skills include Azure, SAP, Scrum. Fit driven by adjacent technical profile; not marked open to work, response rate 0.41, notice 30 days."
CAND_0000005,28,0.107132,"Accountant with 11.0 years in Gurgaon, Haryana; top skills include Image Classification, Tailwind, Apache Flink. Fit driven by adjacent technical profile; open to work, response rate 0.37, notice 30 days."
CAND_0000030,29,0.106132,"Marketing Manager with 10.0 years in Kochi, Kerala; top skills include gRPC, Accounting, GraphQL. Fit driven by adjacent technical profile; not marked open to work, response rate 0.66, notice 60 days."
CAND_0000009,30,0.104241,"Mechanical Engineer with 11.0 years in New York; top skills include OpenCV, JavaScript, Go. Fit driven by adjacent technical profile; not marked open to work, response rate 0.53, notice 150 days. Concern: 150-day notice."
CAND_0000036,31,0.102055,"Project Manager with 11.3 years in Trivandrum, Kerala; top skills include Object Detection, Excel, GraphQL. Fit driven by adjacent technical profile; open to work, response rate 0.40, notice 60 days."
CAND_0000027,32,0.099807,"DevOps Engineer with 3.9 years in Kolkata, West Bengal; top skills include Weights & Biases, PEFT, Data Science. Fit driven by adjacent technical profile; open to work, response rate 0.58, notice 90 days. Concern: consulting-only background, 90-day notice."
CAND_0000017,33,0.099269,"Accountant with 12.3 years in Bangalore, Karnataka; top skills include Hadoop, PostgreSQL, Apache Flink. Fit driven by adjacent technical profile; not marked open to work, response rate 0.27, notice 90 days. Concern: 90-day notice."
